                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.80629,                 1.8552,                 1.1024,                 1.1344,                0.85108,                0.82653,                0.85842,                 0.7221,                 0.8523,                0.82783,                0.85828,                0.69526,                0.61671,                 1.0876,                0.71214,                0.98823,              7.261e-05,              7.261e-05,              7.261e-05
                     85,                0.80225,                 1.8522,                 1.1026,                 1.1325,                0.84979,                0.82712,                0.85856,                0.72215,                0.85235,                0.82843,                0.85851,                0.69576,                0.61649,                 1.0872,                0.71238,                0.98814,              7.228e-05,              7.228e-05,              7.228e-05
                     86,                0.80576,                 1.8627,                 1.1024,                 1.1346,                0.85139,                0.82632,                 0.8591,                0.72225,                0.85284,                0.82862,                0.85885,                0.69557,                0.61639,                 1.0865,                0.71226,                0.98815,              7.195e-05,              7.195e-05,              7.195e-05
                     87,                0.80041,                 1.8378,                 1.0969,                  1.131,                0.85285,                0.82514,                0.85908,                0.72242,                0.85472,                0.82782,                0.85898,                0.69597,                0.61685,                 1.0868,                0.71216,                0.98873,              7.162e-05,              7.162e-05,              7.162e-05
                     88,                0.80051,                 1.8423,                 1.0956,                 1.1311,                0.85358,                0.82515,                0.85963,                0.72246,                0.85477,                0.82766,                0.85913,                0.69596,                0.61675,                 1.0862,                0.71187,                 0.9888,              7.129e-05,              7.129e-05,              7.129e-05
                     89,                0.79986,                 1.8515,                 1.0927,                 1.1321,                0.85326,                0.82536,                 0.8599,                0.72262,                0.85479,                0.82727,                0.85919,                 0.6961,                0.61684,                 1.0863,                0.71181,                0.98913,              7.096e-05,              7.096e-05,              7.096e-05
                     90,                0.80295,                 1.8465,                 1.0942,                 1.1323,                0.85188,                0.82549,                0.86002,                 0.7226,                0.85389,                0.82731,                0.85906,                0.69592,                0.61684,                 1.0867,                0.71151,                0.98911,              7.063e-05,              7.063e-05,              7.063e-05
                     91,                0.80196,                 1.8509,                 1.0936,                 1.1314,                0.85136,                0.82588,                 0.8599,                 0.7229,                  0.852,                0.82734,                 0.8588,                0.69608,                0.61676,                  1.087,                0.71089,                0.98903,               7.03e-05,               7.03e-05,               7.03e-05
                     92,                0.79697,                 1.8314,                  1.087,                   1.13,                0.85114,                 0.8254,                0.85959,                0.72256,                0.85269,                0.82768,                0.85904,                0.69635,                 0.6164,                 1.0874,                0.71067,                0.98872,              6.997e-05,              6.997e-05,              6.997e-05
                     93,                0.80192,                 1.8517,                 1.0909,                 1.1318,                0.85273,                0.82534,                0.85983,                0.72284,                0.85369,                0.82711,                0.85876,                0.69614,                0.61636,                 1.0872,                0.71041,                0.98856,              6.964e-05,              6.964e-05,              6.964e-05
                     94,                0.79839,                 1.8395,                 1.0857,                 1.1299,                0.85252,                0.82548,                0.85959,                0.72267,                0.85351,                0.82776,                0.85901,                0.69652,                0.61626,                 1.0877,                0.71029,                0.98852,              6.931e-05,              6.931e-05,              6.931e-05
                     95,                0.80044,                 1.8406,                 1.0833,                 1.1306,                0.85496,                  0.825,                0.85969,                0.72277,                0.85522,                0.82751,                0.85946,                0.69664,                0.61666,                 1.0875,                0.71042,                0.98881,              6.898e-05,              6.898e-05,              6.898e-05
                     96,                0.79841,                 1.8371,                 1.0865,                 1.1304,                0.85452,                0.82546,                0.85983,                0.72287,                0.85488,                0.82829,                0.85958,                0.69703,                 0.6169,                 1.0864,                0.71027,                  0.989,              6.865e-05,              6.865e-05,              6.865e-05
                     97,                0.79922,                 1.8355,                 1.0848,                 1.1308,                0.85805,                0.82387,                0.85963,                0.72289,                 0.8578,                0.82684,                0.85957,                0.69731,                0.61667,                 1.0863,                 0.7097,                0.98888,              6.832e-05,              6.832e-05,              6.832e-05
                     98,                0.79572,                 1.8333,                 1.0788,                 1.1283,                0.85798,                0.82378,                0.85997,                0.72285,                 0.8586,                 0.8256,                0.85966,                0.69735,                0.61656,                 1.0867,                 0.7095,                0.98879,              6.799e-05,              6.799e-05,              6.799e-05
                     99,                0.80002,                 1.8359,                 1.0842,                  1.132,                0.85684,                0.82352,                0.85954,                0.72314,                0.85894,                0.82667,                0.85996,                0.69717,                0.61651,                  1.086,                0.70926,                0.98893,              6.766e-05,              6.766e-05,              6.766e-05
                    100,                0.79672,                 1.8262,                 1.0749,                  1.128,                0.85803,                 0.8218,                0.85992,                0.72322,                0.85864,                 0.8262,                0.85997,                0.69739,                0.61685,                 1.0857,                0.70881,                0.98931,              6.733e-05,              6.733e-05,              6.733e-05
