                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.39035,                0.68525,                0.39099,                0.92544,                0.84034,                0.84603,                0.86972,                0.75251,                0.84256,                0.83907,                0.86666,                0.71826,                0.51836,                 1.2879,                0.62609,                 1.0261,              0.0004159,              0.0004159,              0.0004159
                     61,                0.38703,                0.68312,                0.38807,                 0.9209,                0.84186,                 0.8425,                0.86951,                0.75276,                0.84352,                0.83915,                0.86705,                0.71746,                0.51959,                  1.291,                0.62529,                 1.0282,               0.000406,               0.000406,               0.000406
                     62,                0.38448,                 0.6771,                0.38109,                0.91947,                0.84005,                0.84411,                0.86874,                0.75223,                0.84242,                0.84089,                0.86666,                0.71765,                0.52112,                 1.2928,                0.62663,                 1.0296,              0.0003961,              0.0003961,              0.0003961
                     63,                0.38083,                0.67441,                 0.3801,                0.91849,                0.83818,                0.84104,                0.86821,                0.75174,                0.84052,                0.83975,                0.86666,                0.71712,                0.52097,                 1.2936,                0.62712,                   1.03,              0.0003862,              0.0003862,              0.0003862
                     64,                0.38029,                0.67387,                 0.3753,                0.91825,                0.83933,                0.84087,                0.86874,                0.75269,                0.84149,                0.84043,                0.86685,                0.71734,                0.51927,                 1.2962,                0.62959,                 1.0281,              0.0003763,              0.0003763,              0.0003763
                     65,                 0.3792,                0.67063,                0.37342,                0.91692,                0.83045,                0.84928,                0.86875,                 0.7523,                0.84286,                0.83981,                 0.8672,                0.71744,                0.51852,                 1.2976,                0.63028,                  1.028,              0.0003664,              0.0003664,              0.0003664
                     66,                 0.3735,                0.65492,                0.37037,                0.91503,                0.83139,                0.85056,                0.86863,                0.75281,                0.84364,                0.83874,                 0.8666,                0.71729,                0.51852,                 1.2997,                0.63036,                 1.0283,              0.0003565,              0.0003565,              0.0003565
                     67,                0.37292,                0.65498,                0.36577,                0.91282,                0.83228,                 0.8501,                0.86896,                0.75368,                0.84504,                0.83845,                0.86685,                0.71723,                0.51857,                 1.3011,                0.63035,                 1.0289,              0.0003466,              0.0003466,              0.0003466
                     68,                 0.3693,                 0.6552,                0.36076,                0.91431,                0.83354,                0.84752,                0.86885,                0.75338,                0.84522,                0.83772,                 0.8665,                 0.7175,                0.51883,                 1.3021,                0.62987,                 1.0295,              0.0003367,              0.0003367,              0.0003367
                     69,                0.36697,                 0.6454,                0.35941,                 0.9113,                 0.8338,                   0.85,                0.86932,                0.75327,                0.83583,                0.84578,                 0.8664,                0.71725,                0.51851,                 1.3029,                0.63047,                 1.0296,              0.0003268,              0.0003268,              0.0003268
                     70,                0.36527,                0.63943,                0.35197,                0.90896,                0.83269,                0.85458,                0.86878,                0.75303,                0.83483,                0.84685,                0.86574,                0.71725,                0.51863,                 1.3033,                0.63185,                 1.0303,              0.0003169,              0.0003169,              0.0003169
                     71,                0.36096,                0.63206,                0.34945,                0.90805,                0.83264,                0.85416,                0.86822,                0.75273,                0.83584,                 0.8476,                0.86538,                 0.7165,                0.51881,                  1.305,                0.63228,                 1.0307,               0.000307,               0.000307,               0.000307
                     72,                0.36103,                0.63318,                0.34728,                0.90726,                0.83471,                0.85337,                0.86782,                0.75278,                0.83416,                0.85306,                0.86455,                0.71697,                0.51953,                 1.3061,                0.63452,                 1.0317,              0.0002971,              0.0002971,              0.0002971
                     73,                0.35627,                0.62113,                0.33917,                 0.9028,                0.83509,                0.85289,                0.86803,                0.75287,                0.83314,                0.85081,                0.86432,                0.71632,                0.51951,                 1.3083,                0.63275,                 1.0314,              0.0002872,              0.0002872,              0.0002872
                     74,                  0.354,                0.61421,                0.33606,                0.90277,                0.83808,                0.85047,                0.86775,                0.75298,                0.83741,                0.84856,                0.86404,                0.71625,                0.51966,                 1.3088,                0.63426,                 1.0317,              0.0002773,              0.0002773,              0.0002773
                     75,                0.35074,                0.61477,                 0.3309,                0.90001,                0.83659,                0.85146,                0.86775,                0.75296,                0.83702,                0.84923,                0.86433,                 0.7162,                0.51991,                 1.3108,                0.63544,                  1.032,              0.0002674,              0.0002674,              0.0002674
                     76,                0.35048,                 0.6122,                0.32958,                0.90037,                0.83552,                0.85506,                0.86797,                0.75259,                0.83581,                0.85112,                0.86467,                0.71599,                0.51978,                  1.312,                0.63629,                 1.0319,              0.0002575,              0.0002575,              0.0002575
                     77,                0.34529,                0.60418,                0.32206,                0.89848,                0.83548,                0.85552,                0.86817,                0.75283,                0.83406,                0.85436,                0.86427,                0.71587,                0.52025,                 1.3135,                0.63708,                 1.0325,              0.0002476,              0.0002476,              0.0002476
                     78,                0.34246,                0.59577,                0.31824,                0.89696,                0.83589,                0.85543,                0.86797,                0.75244,                 0.8343,                0.85437,                0.86354,                0.71634,                0.52041,                 1.3163,                0.63794,                 1.0327,              0.0002377,              0.0002377,              0.0002377
                     79,                0.33722,                0.58891,                0.31444,                0.89414,                0.83727,                0.85468,                0.86804,                0.75308,                0.83731,                0.85475,                0.86444,                0.71706,                0.52052,                 1.3169,                0.63824,                 1.0331,              0.0002278,              0.0002278,              0.0002278
                     80,                0.33557,                0.58628,                0.31087,                0.89401,                0.83947,                0.85257,                0.86798,                0.75292,                0.83792,                0.85089,                0.86393,                0.71701,                 0.5213,                 1.3189,                0.63816,                 1.0339,              0.0002179,              0.0002179,              0.0002179
                     81,                0.33288,                0.58015,                0.30565,                0.89037,                0.84039,                0.85239,                0.86833,                0.75344,                0.84116,                0.85015,                0.86483,                0.71768,                0.52154,                 1.3205,                0.63767,                 1.0344,               0.000208,               0.000208,               0.000208
